"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Segment","Side","PCE"
"53","N1","Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Right)","LRP142","230","138.869","LRP143","500","140.251","1.382","398.0","3838.0","863.0","780.0","314.0","674.0","306.0","589.0","760.0","353.0","36.0","115.0","0.0","8875.0","151.0","9026.0","26","R",17860.488
"54","N1","Int.with Z1031 - Elahiganj (Feni) Z1030 (Left)","LRP143","500","140.251","LRP146","240","143.034","2.783","626.0","4617.0","1156.0","1923.0","588.0","791.0","216.0","716.0","1212.0","331.0","92.0","228.0","0.0","12176.0","320.0","12496.0","27","L",25726.896
"55","N1","Int.with Z1031 - Elahiganj (Feni) Z1030 (Right)","LRP143","500","140.251","LRP146","240","143.034","2.783","728.0","4991.0","1253.0","2234.0","667.0","1164.0","249.0","813.0","1676.0","426.0","148.0","235.0","0.0","14201.0","383.0","14584.0","27","R",29659.484
"56","N1","Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Left)","LRP146","240","143.034","LRP147","1614","145.409","2.375","728.0","4991.0","1253.0","2234.0","667.0","1164.0","249.0","813.0","1676.0","426.0","148.0","235.0","0.0","14201.0","383.0","14584.0","28","L",29659.484
"57","N1","Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Right)","LRP146","240","143.034","LRP147","1614","145.409","2.375","626.0","4617.0","1156.0","1923.0","588.0","791.0","216.0","716.0","1212.0","331.0","92.0","228.0","0.0","12176.0","320.0","12496.0","28","R",25726.896
"58","N1","Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left)","LRP147","1614","145.409","LRP152","448","149.289","3.880","355.0","5555.0","1533.0","1572.0","630.0","1141.0","285.0","980.0","1252.0","415.0","89.0","199.0","0.0","13718.0","288.0","14006.0","29","L",27711.504
"59","N1","Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right)","LRP147","1614","145.409","LRP152","448","149.289","3.880","350.0","5976.0","1656.0","1618.0","669.0","1185.0","355.0","1071.0","1266.0","409.0","96.0","196.0","0.0","14555.0","292.0","14847.0","29","R",29338.888
"60","N1","Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left)","LRP152","448","149.289","LRP160","738","157.685","8.396","393.0","4967.0","1201.0","1656.0","293.0","775.0","282.0","973.0","840.0","207.0","224.0","188.0","0.0","11587.0","412.0","11999.0","30","L",24307.348
"61","N1","Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Right)","LRP152","448","149.289","LRP160","738","157.685","8.396","437.0","5132.0","981.0","1477.0","239.0","613.0","235.0","833.0","847.0","187.0","200.0","141.0","0.0","10981.0","341.0","11322.0","30","R",23280.856
"62","N1","Fazilpur Z1081 - Muhuriganj Z1032 (Left)","LRP160","738","157.685","LRP164","619","161.582","3.897","355.0","5555.0","1533.0","1572.0","630.0","1141.0","285.0","980.0","1252.0","415.0","89.0","199.0","0.0","13718.0","288.0","14006.0","31","L",27711.504
