"","road","chainage.road","lrp","lat.road","lon.road","type","chainage.bridge","condition","lat.bridge","lon.bridge","destination","chainage","lat","lon"
"865",NA,NA,"LRP304b",NA,NA,NA,307.981,"A",21.96895812,92.06415011,"LRP305c",307.981,21.96895812,92.06415011
"866","N1",308.146,"LRP312b",21.967666,92.0635,"Culvert",NA,NA,NA,NA,"LRP313",308.146,21.967666,92.0635
"867","N1",308.411,"LRP313",21.9654167,92.0625556,"KmPost",NA,NA,NA,NA,"LRP313a",308.411,21.9654167,92.0625556
"868","N1",308.666,"LRP313a",21.9620278,92.0633611,"Bridge",NA,NA,NA,NA,"LRP313b",308.666,21.9620278,92.0633611
"869","N1",308.687,"LRP313b",21.9618611,92.0634444,"Bridge",317.001,"A",21.89102365,92.05970108,"LRP313c",308.687,21.9618611,92.0634444
"870",NA,NA,"LRP305c",NA,NA,NA,309.038,"A",21.95924011,92.06527913,"LRP306b",309.038,21.95924011,92.06527913
"871","N1",309.059,"LRP313c",21.9590833,92.0653889,"Culvert",NA,NA,NA,NA,"LRP314",309.059,21.9590833,92.0653889
"872","N1",309.411,"LRP314",21.9578333,92.0665833,"KmPost",NA,NA,NA,NA,"LRP314a",309.411,21.9578333,92.0665833
"873","N1",309.496,"LRP314a",21.9569167,92.0673327,"Culvert",318.11,"A",21.88122152,92.05900154,"LRP314b",309.496,21.9569167,92.0673327
"874",NA,NA,"LRP306b",NA,NA,NA,309.971,"B",21.95207954,92.06781381,"LRP311a",309.971,21.95207954,92.06781381
"875","N1",310.017,"LRP314b",21.9516111,92.0678604,"Bridge",NA,NA,NA,NA,"LRP314c",310.017,21.9516111,92.0678604
"876","N1",310.038,"LRP314c",21.9514444,92.0678604,"Bridge",NA,NA,NA,NA,"LRP315",310.038,21.9514444,92.0678604
"877","N1",310.341,"LRP315",21.9489441,92.0675271,"KmPost",NA,NA,NA,NA,"LRP315a",310.341,21.9489441,92.0675271
"878","N1",310.802,"LRP315a",21.9446663,92.0668049,"Culvert",318.796,"A",21.87511974,92.05910984,"LRP316",310.802,21.9446663,92.0668049
"879","N1",311.341,"LRP316",21.940583,92.0643889,"KmPost",NA,NA,NA,NA,"LRP316a",311.341,21.940583,92.0643889
"880","N1",311.956,"LRP316a",21.9354441,92.0623056,"Culvert",320.189,"A",21.86283514,92.05948487,"LRP316b",311.956,21.9354441,92.0623056
"881","N1",312.209,"LRP316b",21.9333608,92.0614167,"Culvert",NA,NA,NA,NA,"LRP317",312.209,21.9333608,92.0614167
"882","N1",312.366,"LRP317",21.9322216,92.06075,"KmPost",NA,NA,NA,NA,"LRP317a",312.366,21.9322216,92.06075
"883","N1",312.444,"LRP317a",21.931666,92.0603611,"Culvert",320.513,"C",21.85997258,92.06019071,"LRP317b",312.444,21.931666,92.0603611
"884","N1",312.708,"LRP317b",21.9296104,92.0592778,"Culvert",NA,NA,NA,NA,"LRP318",312.708,21.9296104,92.0592778
"885","N1",313.381,"LRP318",21.9235827,92.0585,"KmPost / KmPost",NA,NA,NA,NA,"LRP318a",313.381,21.9235827,92.0585
"886","N1",313.966,"LRP318a",21.9177216,92.0597778,"Culvert",321.305,"A",21.85292879,92.06095762,"LRP318b",313.966,21.9177216,92.0597778
"887","N1",314.269,"LRP318b",21.9160833,92.0601389,"Culvert",321.536,"A",21.85085953,92.06094913,"LRP319",314.269,21.9160833,92.0601389
"888","N1",314.416,"LRP319",21.9148333,92.0604722,"KmPost",NA,NA,NA,NA,"LRP319a",314.416,21.9148333,92.0604722
"889",NA,NA,"LRP311a",NA,NA,NA,314.502,"A",21.91407272,92.06054721,"LRP311b",314.502,21.91407272,92.06054721
"890","N1",314.639,"LRP319a",21.9128611,92.0606667,"Culvert",322.5,"A",21.84297007,92.06359846,"LRP319b",314.639,21.9128611,92.0606667
"891",NA,NA,"LRP311b",NA,NA,NA,315.009,"A",21.90962291,92.06056613,"LRP321d",315.009,21.90962291,92.06056613
"892","N1",315.15,"LRP319b",21.9083889,92.0605278,"Culvert",322.823,"A",21.84039357,92.06493255,"LRP320",315.15,21.9083889,92.0605278
"893","N1",315.42,"LRP320",21.9059444,92.0609167,"KmPost",NA,NA,NA,NA,"LRP320a",315.42,21.9059444,92.0609167
"894","N1",315.728,"LRP320a",21.9031667,92.0611667,"SideRoad,Left",323.619,"A",21.83410332,92.06827359,"LRP321",315.728,21.9031667,92.0611667
"895","N1",316.293,"LRP321",21.8969997,92.0612222,"KmPost",NA,NA,NA,NA,"LRP321a",316.293,21.8969997,92.0612222
"896","N1",316.356,"LRP321a",21.896467933011,92.0610868457182,"SideRoad,Right",324.331,"A",21.82802582,92.07130355,"LRP321b",316.356,21.896467933011,92.0610868457182
"897","N1",317.017,"LRP321b",21.8908886,92.0596667,"Culvert",324.607,"C",21.82578318,92.07234663,"LRP322",317.017,21.8908886,92.0596667
"898","N1",317.299,"LRP322",21.8883886,92.0600833,"KmPost",NA,NA,NA,NA,"LRP322a",317.299,21.8883886,92.0600833
"899","N1",318.132,"LRP322a",21.8810271,92.0589722,"Culvert",325.49,"A",21.81816926,92.07394424,"LRP323",318.132,21.8810271,92.0589722
"900","N1",318.311,"LRP323",21.879416,92.0590833,"KmPost",NA,NA,NA,NA,"LRP323a",318.311,21.879416,92.0590833
"901","N1",318.819,"LRP323a",21.874916,92.0591111,"Culvert",NA,NA,NA,NA,"LRP324",318.819,21.874916,92.0591111
"902","N1",319.32,"LRP324",21.8704993,92.0591389,"KmPost",NA,NA,NA,NA,"LRP324a",319.32,21.8704993,92.0591389
"903","N1",320.227,"LRP324a",21.8625,92.0595,"Culvert",NA,NA,NA,NA,"LRP325",320.227,21.8625,92.0595
"904","N1",320.32,"LRP325",21.8616389,92.0596111,"KmPost",NA,NA,NA,NA,"LRP325a",320.32,21.8616389,92.0596111
"905","N1",320.542,"LRP325a",21.8597222,92.0602778,"Bridge",329.084,"A",21.78785401,92.07885401,"LRP325b",320.542,21.8597222,92.0602778
"906","N1",320.601,"LRP325b",21.8592222,92.0604444,"Bridge",NA,NA,NA,NA,"LRP326",320.601,21.8592222,92.0604444
"907","N1",321.325,"LRP326",21.85275,92.0609722,"KmPost",NA,NA,NA,NA,"LRP326a",321.325,21.85275,92.0609722
"908","N1",321.346,"LRP326a",21.8526111,92.0609722,"Culvert",329.499,"B",21.78419533,92.07924254,"LRP326b",321.346,21.8526111,92.0609722
"909","N1",321.575,"LRP326b",21.8505,92.0609444,"Culvert",NA,NA,NA,NA,"LRP327",321.575,21.8505,92.0609444
"910","N1",322.34,"LRP327",21.8441386,92.0628056,"KmPost",NA,NA,NA,NA,"LRP327a",322.34,21.8441386,92.0628056
"911","N1",322.553,"LRP327a",21.842583,92.0638611,"Culvert",330.931,"A",21.77353392,92.08391447,"LRP327b",322.553,21.842583,92.0638611
"912","N1",322.875,"LRP327b",21.8399719,92.0651389,"Culvert",NA,NA,NA,NA,"LRP328",322.875,21.8399719,92.0651389
"913","N1",323.357,"LRP328",21.8363052,92.067416,"KmPost",NA,NA,NA,NA,"LRP328a",323.357,21.8363052,92.067416
"914","N1",323.671,"LRP328a",21.8336663,92.0684438,"Culvert",331.259,"D",21.77159434,92.08210995,"LRP328b",323.671,21.8336663,92.0684438
"915","N1",323.842,"LRP328b",21.8322216,92.0689993,"SideRoad,Right",NA,NA,NA,NA,"LRP329",323.842,21.8322216,92.0689993
"916","N1",324.324,"LRP329",21.8280827,92.0712771,"KmPost",NA,NA,NA,NA,"LRP329a",324.324,21.8280827,92.0712771
"917","N1",324.618,"LRP329a",21.8256938,92.0723882,"Bridge",NA,NA,NA,NA,"LRP329b",324.618,21.8256938,92.0723882
"918","N1",324.666,"LRP329b",21.8252771,92.0725549,"Bridge",NA,NA,NA,NA,"LRP329c",324.666,21.8252771,92.0725549
"919",NA,NA,"LRP321d",NA,NA,NA,325.153,"A",21.82114288,92.07402014,"LRP323b",325.153,21.82114288,92.07402014
"920","N1",325.183,"LRP329c",21.8208882,92.0741104,"Culvert",NA,NA,NA,NA,"LRP330",325.183,21.8208882,92.0741104
"921","N1",325.332,"LRP330",21.8195271,92.0741382,"KmPost",NA,NA,NA,NA,"LRP330a",325.332,21.8195271,92.0741382
