"","road.road","chainage.road","lrp","lat.road","lon.road","type.road","condition","road.bridge","chainage.bridge","lat.bridge","lon.bridge","type.bridge","destination"
"87","N1",31.783,"LRP032",23.5538056,90.6619722,"KmPost",NA,"N1",31.783,23.5538056,90.6619722,"KmPost","LRP032a"
"88","N1",32.025,"LRP032a",23.5523333,90.6636667,"Culvert",NA,"N1",32.025,23.5523333,90.6636667,"Culvert","LRP033"
"89","N1",32.607,"LRP033",23.5487497,90.6678327,"KmPost",NA,"N1",32.607,23.5487497,90.6678327,"KmPost","LRP033a"
"90","N1",32.831,"LRP033a",23.5474163,90.6694438,"Bridge",NA,"N1",32.831,23.5474163,90.6694438,"Bridge","LRP033b"
"91","N1",32.908,"LRP033b",23.5469441,90.6699993,"Bridge",NA,"N1",32.908,23.5469441,90.6699993,"Bridge","LRP033c"
"92","N1",33.351,"LRP033c",23.5442219,90.6731104,"Culvert",NA,"N1",33.351,23.5442219,90.6731104,"Culvert","LRP034"
"93","N1",33.607,"LRP034",23.542583,90.6749438,"KmPost",NA,"N1",33.607,23.542583,90.6749438,"KmPost","LRP035"
"94","N1",34.607,"LRP035",23.5362497,90.681916,"KmPost",NA,"N1",34.607,23.5362497,90.681916,"KmPost","LRP035a"
"95","N1",34.641,"LRP035a",23.536083,90.6821382,"Bridge",NA,"N1",34.641,23.536083,90.6821382,"Bridge","LRP035b"
"96","N1",34.681,"LRP035b",23.5358608,90.6823604,"Bridge",NA,"N1",34.681,23.5358608,90.6823604,"Bridge","LRP035c"
"97","N1",34.956,"LRP035c",23.5341386,90.6843052,"Culvert",NA,"N1",34.956,23.5341386,90.6843052,"Culvert","LRP036"
"98","N1",35.607,"LRP036",23.5301938,90.688833,"KmPost",NA,"N1",35.607,23.5301938,90.688833,"KmPost","LRP036a"
"99","N1",36.271,"LRP036a",23.529916,90.6952219,"Bridge",NA,"N1",36.271,23.529916,90.6952219,"Bridge","LRP037"
"100","N1",36.607,"LRP037",23.5301382,90.6984997,"KmPost",NA,"N1",36.607,23.5301382,90.6984997,"KmPost","LRP038"
"101","N1",37.607,"LRP038",23.5307493,90.7082778,"KmPost",NA,"N1",37.607,23.5307493,90.7082778,"KmPost","LRP038a"
"102","N1",37.685,"LRP038a",23.5307771,90.7090278,"Bridge",NA,"N1",37.685,23.5307771,90.7090278,"Bridge","LRP038b"
"103","N1",38.04,"LRP038b",23.5313882,90.7153611,"Others / Others",NA,"N1",38.04,23.5313882,90.7153611,"Others / Others","LRP038c"
"104","N1",38.466,"LRP038c",23.5314716,90.7172216,"SideRoad,Right",NA,"N1",38.466,23.5314716,90.7172216,"SideRoad,Right","LRP038d"
"105","N1",38.543,"LRP038d",23.5315271,90.7173604,"Bridge",NA,"N1",38.543,23.5315271,90.7173604,"Bridge","LRP038e"
"106","N1",38.56,"LRP038e",23.5315827,90.7176104,"Bridge",NA,"N1",38.56,23.5315827,90.7176104,"Bridge","LRP039"
"107","N1",38.607,"LRP039",23.5317216,90.7180271,"KmPost",NA,"N1",38.607,23.5317216,90.7180271,"KmPost","LRP039a"
"108","N1",39.12,"LRP039a",23.5322346,90.7226298386,"Culvert",NA,"N1",39.12,23.5322346,90.7226298386,"Culvert","LRP040"
"109","N1",39.607,"LRP040",23.5327216,90.7269993,"KmPost",NA,"N1",39.607,23.5327216,90.7269993,"KmPost","LRP041"
"110","N1",40.607,"LRP041",23.528916,90.7356108,"KmPost",NA,"N1",40.607,23.528916,90.7356108,"KmPost","LRP042"
"111","N1",41.261,"LRP042",23.5289993,90.7419441,"KmPost",NA,"N1",41.261,23.5289993,90.7419441,"KmPost","LRP042a"
"112","N1",42.228,"LRP042a",23.5293882,90.7514167,"Bridge",NA,"N1",42.228,23.5293882,90.7514167,"Bridge","LRP042b"
"113","N1",42.245,"LRP042b",23.5293882,90.7515833,"Bridge",NA,"N1",42.245,23.5293882,90.7515833,"Bridge","LRP043"
"114","N1",42.269,"LRP043",23.529416,90.75175,"KmPost",NA,"N1",42.269,23.529416,90.75175,"KmPost","LRP044"
"115","N1",43.269,"LRP044",23.5299993,90.7615,"KmPost",NA,"N1",43.269,23.5299993,90.7615,"KmPost","LRP045"
"116","N1",44.269,"LRP045",23.5304438,90.7713049,"KmPost",NA,"N1",44.269,23.5304438,90.7713049,"KmPost","LRP045a"
"117","N1",44.454,"LRP045a",23.5304993,90.7731104,"Culvert",NA,"N1",44.454,23.5304993,90.7731104,"Culvert","LRP046"
