ID,LRP,Time,TrafficTruck,TrafficBus,TrafficCar,TrafficMotorbike,TrafficBicycle
11,LRP312a,10,43.1477190084648,60.3397433245741,21.4117107739255,29.1584965669239,95.5865216096101
11,LRP320a,10,43.1477309243271,60.3397590912944,21.4117265406459,26.4026738395961,91.7956452487921
11,LRP321a,10,43.1477428401895,60.3397748580148,21.4117423073662,26.4026846292641,91.7957122512988
11,LRP328b,10,12.7146303055257,30.7614074764771,13.6072157328134,18.1809575557951,33.5035314305089
11,LRP331a,10,12.7146422213881,30.7614232431975,13.6072314995337,18.1809683454632,33.5035984330156
11,LRP335c,10,12.7146541372505,30.7614390099178,13.6072472662541,18.1809791351312,33.5036654355223
11,LRP336c,10,12.7146660531129,30.7614547766382,13.6072630329744,18.1809899247993,33.503732438029
11,LRP337a,10,19.030073117863,32.1646928880224,7.61590929897428,42.6627467879243,308.951037442934
11,LRP341b,10,9.40205630971562,20.6234535898958,3.57962888870049,21.0510416328607,35.3634485401857
11,LRP348a,10,9.40206822557801,20.6234693566162,3.57964465542084,21.0510524225288,35.3635107957228
11,LRP354c,10,9.40208014144039,15.586412719941,3.57966042214119,21.0510632121968,35.36357305126
11,LRP376a,10,9.40209205730278,15.5864246358033,3.57967618886155,21.0510740018649,33.6989786749658
11,LRP378c,10,8.51349048789628,15.5864365516657,3.5796919555819,19.3618002094964,31.2914725172259
11,LRP386c,10,6.64687791084885,10.6890171108878,4.30496109180297,28.729896214534,62.7459464149481
11,LRP403c,10,6.64688870051692,10.6890290267502,3.25353089768589,28.7299061383645,64.2563745867594
11,LRP413a,10,6.646899490185,10.6890409426126,3.25354281354827,28.729916062195,64.2564309994066
11,LRP420c,10,6.64691027985308,10.689052858475,3.25355472941066,28.7299259860255,64.0288965475484
11,LRP433e,10,6.64692106952115,10.6890647743373,3.25356664527305,28.729935909856,64.5737919749573
12,LRPS,11,885.914336574674,630.314559391613,291.013865510602,355.377565724942,136.147495125879
12,LRPSb,11,893.452871571465,635.67812859807,293.490235792393,358.401623675511,137.306066693711
12,LRP004a,11,547.806817489919,658.411287149275,221.719216525993,371.043754241393,140.877610306494
12,LRP007a,11,516.626674838639,597.524972226595,237.649434862374,462.146461951586,189.121794663292
12,LRP009a,11,930.302131068431,902.126620345366,242.524875349665,483.63241479674,189.121794663292
12,LRP012c,11,930.3021877596,902.126677036535,242.524932040834,483.632471487909,189.121851354461
12,LRP016a,11,930.302244450768,902.126733727703,242.524988732002,483.632528179077,189.121908045629
12,LRP020a,11,738.856168571913,461.46628131244,277.616822006806,164.858087946088,22.3190399254048
12,LRP023a,11,738.856225263081,461.466338003609,277.616878697974,164.858144637256,22.3190964288742
12,LRP031a,11,738.85628195425,461.466394694777,277.616935389143,164.858201328425,22.3191529323436
12,LRP036a,11,738.856338645418,461.466451385946,277.616992080311,164.858258019593,22.319209435813
12,LRP038c,11,691.575904152387,331.983822630451,168.373110463919,108.620618910377,12.6282089998668
12,LRP046b,11,691.575960843556,331.983879321619,168.373167155088,108.620675601545,12.6282480957628
12,LRP047a,11,691.576017534724,331.983936012788,168.373223846256,108.620732292714,12.6282871916589
12,LRP056c,11,691.576074225893,331.983992703956,168.373280537425,108.620788983882,7.58051613606362
